Date,State,Region,Confirmed,Deaths,Recovered
29-03-20,,Afghanistan,120,4,2
29-03-20,,Albania,212,10,33
29-03-20,,Algeria,511,31,31
29-03-20,,Andorra,334,6,1
29-03-20,,Angola,7,2,0
29-03-20,,Antigua and Barbuda,7,0,0
29-03-20,,Argentina,745,19,72
29-03-20,,Armenia,424,3,30
29-03-20,Australian Capital Territory,Australia,77,0,2
29-03-20,New South Wales,Australia,1791,8,4
29-03-20,Northern Territory,Australia,15,0,0
29-03-20,Queensland,Australia,656,2,8
29-03-20,South Australia,Australia,299,0,6
29-03-20,Tasmania,Australia,66,0,5
29-03-20,Victoria,Australia,769,4,191
29-03-20,Western Australia,Australia,311,2,28
29-03-20,,Austria,8788,86,479
29-03-20,,Azerbaijan,209,4,15
29-03-20,,Bahamas,11,0,1
29-03-20,,Bahrain,499,4,272
29-03-20,,Bangladesh,48,5,15
29-03-20,,Barbados,33,0,0
29-03-20,,Belarus,94,0,32
29-03-20,,Belgium,10836,431,1359
29-03-20,,Benin,6,0,0
29-03-20,,Bhutan,4,0,0
29-03-20,,Bolivia,81,1,0
29-03-20,,Bosnia and Herzegovina,323,6,8
29-03-20,,Brazil,4256,136,6
29-03-20,,Brunei,126,1,34
29-03-20,,Bulgaria,346,8,14
29-03-20,,Burkina Faso,222,12,23
29-03-20,,Cabo Verde,6,1,0
29-03-20,,Cambodia,103,0,21
29-03-20,,Cameroon,139,6,5
29-03-20,Alberta,Canada,621,2,0
29-03-20,British Columbia,Canada,884,17,0
29-03-20,Manitoba,Canada,72,1,0
29-03-20,New Brunswick,Canada,66,0,0
29-03-20,Newfoundland and Labrador,Canada,135,0,0
29-03-20,Nova Scotia,Canada,122,0,0
29-03-20,Ontario,Canada,1355,21,0
29-03-20,Prince Edward Island,Canada,11,0,0
29-03-20,Quebec,Canada,2840,22,0
29-03-20,Saskatchewan,Canada,156,0,0
29-03-20,,Central African Republic,3,0,0
29-03-20,,Chad,3,0,0
29-03-20,,Chile,2245,7,75
29-03-20,Anhui,China,990,6,984
29-03-20,Beijing,China,577,8,412
29-03-20,Chongqing,China,579,6,570
29-03-20,Fujian,China,338,1,295
29-03-20,Gansu,China,138,2,125
29-03-20,Guangdong,China,1475,8,1349
29-03-20,Guangxi,China,254,2,250
29-03-20,Guizhou,China,146,2,144
29-03-20,Hainan,China,168,6,168
